carrierCode;tailNum;planeModel;planeYear;
F9;N936FR;A319-111;2005;
OO;N936SW;CL-600-2B19;2002;
UA;N936UA;737-522;1992;
US;N936UW;757-2B7;1994;
FL;N937AT;717-200;2001;
OH;N937CA;CL-600-2B19;1994;
DL;N937DL;MD-88;1989;
EV;N937EV;CL-600-2B19;2005;
F9;N937FR;A319-111;2005;
OO;N937SW;CL-600-2B19;2003;
UA;N937UA;737-522;1992;
US;N937UW;757-2B7;1994;
FL;N938AT;717-200;;
OH;N938CA;CL-600-2B19;1994;
DL;N938DL;MD-88;1989;
F9;N938FR;A319-111;2005;
YV;N938LR;CL600-2D24;2005;
OO;N938SW;CL-600-2B19;2003;
UA;N938UA;737-522;1992;
US;N938UW;757-2B7;1994;
FL;N939AT;717-200;;
DL;N939DL;MD-88;1989;
F9;N939FR;A319-111;2005;
YV;N939LR;CL600-2D24;2005;
MQ;N939MQ;;;
OO;N939SW;CL-600-2B19;2003;
US;N939UW;757-2B7;1994;
FL;N940AT;717-200;1999;
OH;N940CA;CL-600-2B19;1994;
DL;N940DL;MD-88;1989;
F9;N940FR;A319-111;;
US;N940UW;757-2B7;1995;
OH;N941CA;CL-600-2B19;1994;
DL;N941DL;MD-88;1989;
F9;N941FR;A319-112;2005;
MQ;N941MQ;;;
OO;N941SW;CL-600-2B19;2003;
UA;N941UA;737-522;1992;
US;N941UW;757-2B7;1995;
FL;N942AT;717-200;1999;
DL;N942DL;MD-88;1989;
F9;N942FR;A319-111;2005;
YV;N942LR;CL600-2D24;2005;
MQ;N942MQ;;;
UA;N942UA;737-522;1992;
US;N942UW;757-2B7;1995;
FL;N943AT;717-200;1999;
DL;N943DL;MD-88;1989;
F9;N943FR;A319-112;2005;
OO;N943SW;CL-600-2B19;2003;
FL;N944AT;717-200;1999;
DL;N944DL;MD-88;1989;
OO;N944SW;CL-600-2B19;2003;
US;N944UW;ERJ 190-100 IGW;2006;
FL;N945AT;717-200;1999;
DL;N945DL;MD-88;1989;
F9;N945FR;A319-111;2006;
NW;N945N;DC-9-32;1975;
OO;N945SW;CL-600-2B19;2003;
US;N945UW;ERJ 190-100 IGW;;
FL;N946AT;717-200;1999;
DL;N946DL;MD-88;1989;
F9;N946FR;A319-111;2006;
OO;N946SW;CL-600-2B19;2003;
US;N946UW;ERJ 190-100 IGW;2007;
FL;N947AT;717-200;1999;
DL;N947DL;MD-88;1989;
F9;N947FR;A319-111;2006;
OO;N947SW;CL-600-2B19;2003;
US;N947UW;ERJ 190-100 IGW;2007;
FL;N948AT;717-200;1999;
DL;N948DL;MD-88;1989;
F9;N948FR;A319-111;2006;
OO;N948SW;CL-600-2B19;2003;
US;N948UW;ERJ 190-100 IGW;2007;
FL;N949AT;717-200;1999;
DL;N949DL;MD-88;1990;
F9;N949FR;A319-111;2006;
US;N949UW;ERJ 190-100 IGW;2007;
FL;N950AT;717-200;2000;
DL;N950DL;MD-88;1990;
US;N950UW;ERJ 190-100 IGW;2007;
FL;N951AT;717-200;2000;
DL;N951DL;MD-88;1990;
OO;N951SW;CL-600-2B19;2003;
US;N951UW;ERJ 190-100 IGW;2007;
FL;N952AT;717-200;2000;
DL;N952DL;MD-88;1990;
OO;N952SW;CL-600-2B19;2003;
US;N952UW;ERJ 190-100 IGW;2007;
FL;N953AT;717-200;2000;
DL;N953DL;MD-88;1990;
OO;N953SW;CL-600-2B19;2003;
US;N953UW;ERJ 190-100 IGW;2007;
FL;N954AT;717-200;2000;
OH;N954CA;CL-600-2B19;1995;
DL;N954DL;MD-88;1990;
OO;N954SW;CL-600-2B19;2003;
US;N954UW;ERJ 190-100 IGW;2007;
FL;N955AT;717-200;2000;
DL;N955DL;MD-88;1990;
OO;N955SW;CL-600-2B19;2003;
US;N955UW;ERJ 190-100 IGW;2008;
FL;N956AT;717-200;2000;
OH;N956CA;CL-600-2B19;1996;
DL;N956DL;MD-88;1990;
YV;N956LR;CL600-2D24;2005;
OO;N956SW;CL-600-2B19;2003;
US;N956UW;ERJ 190-100 IGW;2008;
FL;N957AT;717-200;2000;
OH;N957CA;CL-600-2B19;1996;
DL;N957DL;MD-88;1990;
OO;N957SW;CL-600-2B19;2003;
US;N957UW;ERJ 190-100 IGW;;
FL;N958AT;717-200;2001;
OH;N958CA;CL-600-2B19;1996;
DL;N958DL;MD-88;1990;
OO;N958SW;CL-600-2B19;2003;
US;N958UW;ERJ 190-100 IGW;;
FL;N959AT;717-200;2001;
OH;N959CA;CL-600-2B19;1996;
DL;N959DL;MD-88;1990;
OO;N959SW;CL-600-2B19;2003;
US;N959UW;ERJ 190-100 IGW;;
FL;N960AT;717-200;2001;
OH;N960CA;CL-600-2B19;1996;
DL;N960DL;MD-88;1990;
US;N960UW;;;
FL;N961AT;717-200;2001;
DL;N961DL;MD-88;1990;
OO;N961SW;CL-600-2B19;2003;
US;N961UW;;;
OH;N962CA;CL-600-2B19;1996;
DL;N962DL;MD-88;1990;
OO;N962SW;CL-600-2B19;2003;
US;N962UW;;;
FL;N963AT;717-200;2001;
OH;N963CA;CL-600-2B19;1996;
DL;N963DL;MD-88;1990;
OO;N963SW;CL-600-2B19;2003;
US;N963UW;;;
FL;N964AT;717-200;2001;
OH;N964CA;CL-600-2B19;1996;
DL;N964DL;MD-88;1990;
OO;N964SW;CL-600-2B19;2003;
US;N964UW;;;
FL;N965AT;717-200;2001;
OH;N965CA;CL-600-2B19;1996;
DL;N965DL;MD-88;1990;
US;N965UW;;;
FL;N966AT;717-200;2001;
OH;N966CA;CL-600-2B19;1996;
US;N966UW;;;
FL;N967AT;717-200;2001;
OH;N967CA;CL-600-2B19;1996;
NW;N967N;DC-9-32;1973;
OO;N967SW;CL-600-2B19;2003;
US;N967UW;;;
FL;N968AT;717-200;2001;
US;N968UW;;;
FL;N969AT;717-200;2001;
DL;N969DL;MD-88;1990;
OO;N969SW;CL-600-2B19;2003;
FL;N970AT;717-200;2001;
EV;N970EV;CL-600-2B19;2001;
FL;N971AT;717-200;2001;
EV;N971EV;CL-600-2B19;2001;
OO;N971SW;CL-600-2B19;2004;
FL;N972AT;717-200;2001;
OH;N972CA;PA-28-180;1966;
DL;N972DL;MD-88;1991;
EV;N972EV;CL-600-2B19;2001;
YV;N97325;CL-600-2B19;1999;
DL;N973DL;MD-88;1991;
EV;N973EV;CL-600-2B19;2002;
OO;N973SW;CL-600-2B19;2004;
FL;N974AT;717-200;2002;
DL;N974DL;MD-88;1991;
EV;N974EV;CL-600-2B19;2001;
FL;N975AT;717-200;2002;
DL;N975DL;MD-88;1991;
OO;N975SW;CL-600-2B19;2004;
DL;N976DL;MD-88;1991;
EV;N976EV;CL-600-2B19;2001;
OO;N976SW;CL-600-2B19;2004;
FL;N977AT;717-200;2002;
DL;N977DL;MD-88;1991;
EV;N977EV;CL-600-2B19;2002;
FL;N978AT;717-200;2002;
DL;N978DL;MD-88;1991;
EV;N978EV;CL-600-2B19;2002;
OO;N978SW;CL-600-2B19;2004;
FL;N979AT;717-200;2002;
DL;N979DL;MD-88;1991;
EV;N979EV;CL-600-2B19;2003;
OO;N979SW;CL-600-2B19;2004;
FL;N980AT;717-200;2002;
DL;N980DL;MD-88;1991;
EV;N980EV;CL-600-2B19;2003;
OO;N980SW;CL-600-2B19;2004;
FL;N981AT;717-200;2002;
DL;N981DL;MD-88;1991;
EV;N981EV;CL-600-2B19;2003;
FL;N982AT;717-200;2002;
DL;N982DL;MD-88;1991;
OO;N982SW;CL-600-2B19;2004;
FL;N983AT;717-200;;
DL;N983DL;MD-88;1991;
OO;N983SW;CL-600-2B19;2004;
DL;N984DL;MD-88;1991;
FL;N985AT;717-200;2001;
DL;N985DL;MD-88;1991;
FL;N986AT;717-200;2001;
OO;N986CA;CL-600-2B19;;
DL;N986DL;MD-88;1991;
OO;N986SW;CL-600-2B19;2004;
FL;N987AT;717-200;2001;
DL;N987DL;MD-88;1991;
YV;N987HA;DHC-8-202;1996;
NW;N987US;DC-9-32;1971;
FL;N988AT;717-200;2001;
DL;N988DL;MD-88;1991;
YV;N988HA;DHC-8-202;1996;
FL;N989AT;717-200;2001;
OH;N989CA;CL-600-2B19;1998;
DL;N989DL;MD-88;1991;
YV;N989HA;DHC-8-202;1996;
FL;N990AT;717-200;2001;
DL;N990DL;MD-88;1991;
FL;N991AT;717-200;;
DL;N991DL;MD-88;1991;
YV;N991HA;DHC-8-202;1996;
FL;N992AT;717-200;2002;
DL;N992DL;MD-88;1991;
FL;N993AT;717-200;2002;
DL;N993DL;MD-88;1991;
FL;N994AT;717-200;2002;
DL;N994DL;MD-88;1991;
FL;N995AT;717-200;2002;
DL;N995DL;MD-88;1991;
FL;N996AT;717-200;2002;
DL;N996DL;MD-88;1991;
FL;N997AT;717-200;2002;
DL;N997DL;MD-88;1992;
FL;N998AT;717-200;2002;
DL;N998DL;MD-88;1992;
DL;N999DN;MD-88;1992;
