idVuelo;idIncidente;crsDepTime;crsArrTime;arrTime;cancelled;diverted;carrierDelay;weatherDelay;nasDelay;securityDelay;lateAircraftDelay;divArrDelay;div1airport;div2airport
645;311;1043;1827;1957;0;0;0;0;90;0;0;;;
650;312;1120;1250;1300;0;0;0;0;0;0;0;;;
651;313;800;1020;1026;0;0;0;0;0;0;0;;;
654;314;1810;2150;2152;0;0;0;0;0;0;0;;;
655;315;800;1017;1035;0;0;0;0;7;11;0;;;
658;316;1125;1856;1906;0;0;0;0;0;0;0;;;
659;317;1023;1332;1337;0;0;0;0;0;0;0;;;
660;318;852;910;928;0;0;0;0;18;0;0;;;
662;319;1000;1133;1140;0;0;0;0;0;0;0;;;
667;320;1100;1830;1841;0;0;0;0;0;0;0;;;
668;321;750;946;952;0;0;0;0;0;0;0;;;
669;322;2206;2319;2321;0;0;0;0;0;0;0;;;
671;323;1900;2153;2224;0;0;31;0;0;0;0;;;
673;324;1545;1713;1818;0;0;48;0;17;0;0;;;
675;325;700;914;924;0;0;0;0;0;0;0;;;
677;326;1145;1442;1444;0;0;0;0;0;0;0;;;
680;327;1029;1121;1130;0;0;0;0;0;0;0;;;
681;328;1405;1552;2016;0;0;0;0;264;0;0;;;
683;329;1342;1746;2112;0;0;0;0;206;0;0;;;
684;330;1045;1248;1317;0;0;0;0;29;0;0;;;
685;331;1507;1735;1740;0;0;0;0;0;0;0;;;
686;332;1825;2048;2056;0;0;0;0;0;0;0;;;
687;333;1304;1427;1434;0;0;0;0;0;0;0;;;
692;334;1940;2312;2314;0;0;0;0;0;0;0;;;
695;335;1015;1144;1154;0;0;0;0;0;0;0;;;
699;336;1005;1445;1447;0;0;0;0;0;0;0;;;
702;337;735;1547;1631;0;0;0;0;44;0;0;;;
704;338;955;1150;1308;0;0;78;0;0;0;0;;;
705;339;1240;1958;2114;0;0;0;0;3;0;73;;;
706;340;611;755;808;0;0;0;0;0;0;0;;;
714;341;725;927;932;0;0;0;0;0;0;0;;;
716;342;1230;1430;2205;0;0;0;0;455;0;0;;;
717;343;1518;1718;1824;0;0;11;0;32;0;23;;;
718;344;1815;1935;1951;0;0;0;0;0;0;16;;;
720;345;1240;1440;1511;0;0;0;0;31;0;0;;;
723;346;1445;1645;1700;0;0;0;0;15;0;0;;;
724;347;1800;1915;1919;0;0;0;0;0;0;0;;;
731;348;1535;1700;1703;0;0;0;0;0;0;0;;;
732;349;1120;1237;1244;0;0;0;0;0;0;0;;;
735;350;1510;1634;2101;0;0;0;0;267;0;0;;;
736;351;1325;1429;1516;0;0;0;40;7;0;0;;;
737;352;1555;1640;1956;0;0;192;0;4;0;0;;;
738;353;1715;1832;2243;0;0;0;0;74;0;177;;;
742;354;1430;1607;1612;0;0;0;0;0;0;0;;;
743;355;1445;1545;1554;0;0;0;0;0;0;0;;;
749;356;955;1659;1710;0;0;0;0;0;0;0;;;
753;357;1905;2338;2345;0;0;0;0;0;0;0;;;
754;358;1500;1737;1809;0;0;0;0;32;0;0;;;
755;359;716;1100;1106;0;0;0;0;0;0;0;;;
757;360;1336;1515;2028;0;0;0;0;313;0;0;;;
758;361;1630;1830;2358;0;0;23;0;37;0;268;;;
765;362;655;940;954;0;0;0;0;0;0;0;;;
766;363;1059;1350;1407;0;0;0;0;17;0;0;;;
767;364;1241;1515;1607;0;0;0;0;52;0;0;;;
769;365;1600;1800;1902;0;0;3;0;22;0;37;;;
773;366;1018;1145;1207;0;0;0;0;22;0;0;;;
790;367;600;754;802;0;0;0;0;0;0;0;;;
791;368;904;1356;1400;0;0;0;0;0;0;0;;;
792;369;610;746;754;0;0;0;0;0;0;0;;;
793;370;922;1018;1019;0;0;0;0;0;0;0;;;
795;371;1830;2130;2339;0;0;0;0;129;0;0;;;
797;372;800;1314;1326;0;0;0;0;0;0;0;;;
802;373;1055;1202;1211;0;0;0;0;0;0;0;;;
811;374;1420;2010;2012;0;0;0;0;0;0;0;;;
814;375;759;1052;1117;0;0;0;0;25;0;0;;;
815;376;1214;1524;1611;0;0;0;0;47;0;0;;;
816;377;740;1324;1326;0;0;0;0;0;0;0;;;
820;378;1159;1930;2031;0;0;11;0;50;0;0;;;
823;379;600;910;916;0;0;0;0;0;0;0;;;
824;380;2040;2230;2238;0;0;0;0;0;0;0;;;
825;381;1000;1107;1131;0;0;0;0;24;0;0;;;
826;382;1157;1827;1844;0;0;0;0;4;0;13;;;
827;383;1250;1505;1605;0;0;0;0;60;0;0;;;
829;384;1106;1230;1249;0;0;0;0;19;0;0;;;
830;385;1310;1518;1526;0;0;0;0;0;0;0;;;
831;386;1617;1844;1854;0;0;0;0;0;0;0;;;
834;387;630;825;838;0;0;0;0;0;0;0;;;
837;388;1135;1255;1306;0;0;0;0;0;0;0;;;
840;389;614;739;746;0;0;0;0;0;0;0;;;
841;390;1135;1249;1305;0;0;0;0;16;0;0;;;
842;391;710;1013;1036;0;0;11;0;12;0;0;;;
844;392;1355;1648;2012;0;0;0;0;204;0;0;;;
845;393;630;743;752;0;0;0;0;0;0;0;;;
847;394;1245;1834;2156;0;0;0;0;202;0;0;;;
848;395;1205;1701;2233;0;0;0;0;332;0;0;;;
849;396;1859;2115;2234;0;0;79;0;0;0;0;;;
850;397;1546;1819;1835;0;0;0;0;14;0;2;;;
851;398;1239;1506;1517;0;0;0;0;0;0;0;;;
852;399;1015;1153;1225;0;0;19;0;13;0;0;;;
854;400;1430;1716;1733;0;0;0;0;17;0;0;;;
855;401;815;1019;1020;0;0;0;0;0;0;0;;;
858;402;1245;1647;1652;0;0;0;0;0;0;0;;;
859;403;640;941;952;0;0;0;0;0;0;0;;;
863;404;1950;2122;2123;0;0;0;0;0;0;0;;;
865;405;1800;1927;;1;0;;;;;;;BOS;
866;406;2010;2333;;1;0;;;;;;;;
867;407;710;908;1019;0;0;0;0;71;0;0;;;
868;408;950;1159;1245;0;0;0;0;0;0;46;;;
869;409;1240;1442;1509;0;0;0;0;0;0;27;;;
870;410;1515;1725;1742;0;0;4;0;0;0;13;;;
872;411;945;1158;1201;0;0;0;0;0;0;0;;;
873;412;1305;2039;2048;0;0;0;0;0;0;0;;;
874;413;2200;2347;2354;0;0;0;0;0;0;0;;;
876;414;1030;1217;1218;0;0;0;0;0;0;0;;;
877;415;1245;1435;1443;0;0;0;0;0;0;0;;;
878;416;1230;1359;1407;0;0;0;0;0;0;0;;;
881;417;1430;1622;1637;0;0;0;0;15;0;0;;;
883;418;2230;2357;;1;0;;;;;;;;
884;419;1520;2002;2400;0;0;0;0;214;0;24;;;
885;420;1615;1735;1807;0;0;0;0;32;0;0;;;
886;421;655;747;759;0;0;0;0;0;0;0;;;
887;422;1515;1714;1728;0;0;0;0;0;0;0;;;
888;423;1105;1209;1211;0;0;0;0;0;0;0;;;
891;424;1436;1545;1915;0;0;64;0;0;0;146;;;
893;425;630;1438;1456;0;0;9;0;9;0;0;;;
894;426;1555;1845;1925;0;0;0;0;40;0;0;;;
896;427;725;937;945;0;0;0;0;0;0;0;;;
897;428;925;1433;1435;0;0;0;0;0;0;0;;;
901;429;1350;1552;1837;0;0;0;0;161;0;4;;;
902;430;1100;1318;1324;0;0;0;0;0;0;0;;;
903;431;725;1024;1036;0;0;0;0;0;0;0;;;
904;432;1630;1819;2155;0;0;157;0;53;0;6;;;
906;433;835;1639;1702;0;0;0;0;23;0;0;;;
907;434;1805;1956;2149;0;0;9;0;97;0;7;;;
908;435;800;1033;1052;0;0;0;0;19;0;0;;;
910;436;1117;1258;1321;0;0;0;0;10;0;13;;;
911;437;1338;1712;1735;0;0;0;0;0;0;23;;;
912;438;1410;1646;2319;0;0;0;0;393;0;0;;;
914;439;855;1018;1027;0;0;0;0;0;0;0;;;
919;440;1414;1559;1613;0;0;0;0;0;0;0;;;
920;441;1410;1542;1550;0;0;0;0;0;0;0;;;
921;442;1005;1119;1122;0;0;0;0;0;0;0;;;
923;443;1755;2047;2327;0;0;38;0;122;0;0;;;
924;444;630;933;936;0;0;0;0;0;0;0;;;
925;445;1045;1330;1345;0;0;0;0;15;0;0;;;
926;446;1345;2040;2042;0;0;0;0;0;0;0;;;
929;447;800;950;953;0;0;0;0;0;0;0;;;
931;448;1130;1314;1335;0;0;2;0;11;0;8;;;
932;449;1415;1644;1649;0;0;0;0;0;0;0;;;
933;450;1755;2103;2225;0;0;1;0;81;0;0;;;
934;451;2212;600;717;0;0;0;0;0;0;77;;;
935;452;1800;2028;2241;0;0;62;0;71;0;0;;;
937;453;1250;1517;1519;0;0;0;0;0;0;0;;;
942;454;810;953;959;0;0;0;0;0;0;0;;;
943;455;1030;1157;1633;0;0;212;0;64;0;0;;;
945;456;1725;1910;2028;0;0;1;0;77;0;0;;;
947;457;2230;2351;;1;0;;;;;;;;
951;458;1330;1608;1644;0;0;25;0;11;0;0;;;
963;459;1705;1933;1943;0;0;0;0;0;0;0;;;
967;460;1525;1709;1717;0;0;0;0;0;0;0;;;
969;461;1200;1437;1441;0;0;0;0;0;0;0;;;
970;462;610;1426;1428;0;0;0;0;0;0;0;;;
971;463;1535;1837;1901;0;0;0;0;24;0;0;;;
972;464;1120;1246;1309;0;0;0;0;3;0;20;;;
973;465;905;1024;1055;0;0;24;0;7;0;0;;;
976;466;1020;1801;1806;0;0;0;0;0;0;0;;;
977;467;750;918;921;0;0;0;0;0;0;0;;;
